Name,About,Url_image,Adapts Well To Apartment Living,Good For Novice Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,Adaptability,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,All Around Friendliness,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Health And Grooming Needs,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Trainability,Energy Level,Intensity,Exercise Needs,Potential For Playfulness,Physical Needs,Dog Breed Group,Height,Weight,Life Span
Gordon Setter,"Originally bred to hunt pheasant and quail, Gordon Setters are still fine hunting companions and field trial competitors. Canines of this breed also compete in obedience, conformation, and agility, and they’re terrific family companion dogs. Gordon Setters have lots of love to give to their humans, but apartment dwellers should beware. These dogs need plenty of exercise to burn off their high energy. If you can provide space to play and keep up with daily walks, then this may be the breed for you. DogTime recommends this dog bed to give a good night’s sleep to your medium-sized Gordon Setter. You should also pick up this dog de-shedder for your high shedding pup! See all Gordon Setter characteristics below! Additional articles that will interest you:",https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_22982_gordon-setter-460x290.jpg,2,3,4,1,4,3,3,5,3,2,3,3,5,3,2,4,3,3,3,5,5,3,4,5,4,4,5,2,5,5,4,Sporting Dogs,15.24,28.35,11.0
Greyhound,"Greyhounds were originally bred as hunting dogs to chase hare, foxes, and deer. Canines in this dog breed can reach speeds of 40 to 45 miles per hour, making them the Ferraris of the dog world. Not surprisingly, Greyhounds made a name for themselves as racing dogs. Because of this, you can likely find them retired and in the care of shelters and rescue groups. Consider adoption if this is the breed for you. Today, Greyhounds also participate in many other dog sports, including lure coursing, conformation, obedience, and agility . Beyond their grace and speed, people love them for their sweet, mild nature. Fans of the breed often claim that these dogs have two speeds: all-out sprint and total couch potato. They are, however, quite sensitive, both to extreme weather and to loneliness. This is not a dog who can be left home alone for long hours of the day. Give them the love, care, and exercise they crave, and you’ll have an adoring, cuddle bug companion for life. DogTime recommends this big, spacious crate to give your large Greyhound a place to rest and relax. You should also pick up this dog fetch toy to help burn off your pup’s energy! See all Greyhound dog breed facts and characteristics below! More articles that will interest you:",https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_23024_greyhound-460x290.jpg,4,2,5,1,1,5,3,5,5,4,5,5,4,5,5,4,5,4,5,5,5,4,5,2,5,4,5,3,5,4,4,Hound Dogs,3.81,30.62,13.5
Gollie,"The Gollie is a mixed breed dog–a cross between the Golden Retriever and Collie dog breeds. Loving, clever, and energetic, these pups inherited some of the best qualities from both of their parents. Gollies are also sometimes known as Golden Collies . You can find these mixed breed dogs in shelters and breed specific rescues, so remember to always adopt! Don’t shop if you’re looking to add one of these mixed breed dogs to your home! Gollies totally love people and will become a loving and faithful part of your family. Beyond snuggle sessions, be aware that the breed is also a very active one. This is not an apartment dog, and walks and outdoor time need to be on the brisk and energetic side. If you like jogging or hiking, consider the Gollie to be your new training partner!",https://cdn2-www.dogtime.com/assets/uploads/2019/09/gollie-mixed-dog-breed-pictures-1-1.jpg,1,4,3,2,3,3,3,5,5,4,4,5,4,2,3,3,4,3,3,4,4,2,2,2,4,3,5,3,4,5,4,Mixed Breed Dogs,60.96,28.35,13.5
Golden Shepherd,"The Golden Shepherd is a mixed breed dog–a cross between the Golden Retriever and German Shepherd dog breeds. Large, energetic, and loyal, these pups inherited some of the best qualities from both of their parents. The Golden Shepherd is also called Golden German Shepherd, German Retriever, or just German Shepherd Golden Retriever. Despite their unfortunate status as a designer breed, you can find these mixed-breed dogs in shelters and breed specific rescues, so remember to adopt! Don’t shop! Golden Shepherds are not a great choice for novice pet owners, but if you’re an experienced dog parent looking for a watch dog and all around family companion, this pup may be for you! Big homes with yards are ideal but not required, as long as they get plenty of exercise. While Golden Shepherds are not excessively barky, they will alert when strangers approach. These dogs are protective of their loved ones and friendly with people, children, and other dogs. Don’t leave them alone for long periods, though, or else they may become bored and destructive.",https://cdn1-www.dogtime.com/assets/uploads/2019/11/German-Shepherd-Golden-Retriever-mixed-dog-breed-pictures-cover.jpg,2,2,5,1,5,4,3,5,5,3,5,5,5,2,2,3,3,5,3,5,5,5,3,3,2,4,5,3,5,5,5,Mixed Breed Dogs,58.42,31.75,12.0
Golden Cocker Retriever,"The Golden Cocker Retriever is a mixed breed dog–a cross between the Golden Retriever and Cocker Spaniel dog breeds. Sweet, playful, and intelligent, these pups inherited some of the best qualities from both of their parents. Golden Cocker Retrievers also go by the names Cogol and Dakota Sport Retriever . You can find these mixed breed dogs in shelters and breed-specific rescues, so remember to always adopt! Don’t shop if you’re looking to add a one of these sweet pups to your home! The Golden Cocker Retriever is a super affectionate and extra playful pooch. This is a mixed breed that makes for a top notch family dog–the’ll want to be involved in all of your daily activities, whether that’s snuggling and lounging on the couch or heading out on hikes and running errands. Although speaking about activities, the Golden Cocker Retriever is an energetic breed that will require a high amount of exercise–this is not an apartment dog.",https://cdn3-www.dogtime.com/assets/uploads/2019/10/golden-cocker-retriever-mixed-dog-breed-pictures-cover-1.jpg,1,4,4,1,2,4,3,5,4,4,3,4,4,1,4,4,4,3,3,4,4,2,2,3,4,3,5,2,4,5,4,Mixed Breed Dogs,55.88,17.01,13.5
Golden Retriever Corgi,"The Golden Retriever Corgi is a mixed breed dog–a cross between the Corgi and Golden Retriever dog breeds. Loyal, silly, and active, these pups inherited some of the best qualities from both of their parents. Golden Retriever Corgis go by several names, including the Golden Corgi, Corgi Retriever, and the Corgi Golden Retriever. Despite their unfortunate status as a designer breed, you can find these mixed breed dogs in shelters and breed specific rescues, so remember to adopt! Don’t shop! These adorable pups make great apartment dogs for active urban dwellers, though they are best suited to to bigger homes with a yard–and they are especially great with kids. If you want a spunky dog who will make you laugh, keep you active, and love you unconditionally, this may be the right dog for you!",https://cdn2-www.dogtime.com/assets/uploads/2020/01/golden-retriever-corgi-mixed-dog-breed-pictures-cover.jpg,3,4,3,3,3,3,3,5,5,4,4,5,4,3,3,3,4,3,3,4,4,3,2,3,2,3,4,3,3,5,4,Mixed Breed Dogs,35.56,23.81,11.5
Giant Schnauzer,"The Giant Schnauzer was created to be a working dog breed , so they have intelligence and drive. They can be a loyal and courageous companion for the person who can provide them with the training, exercise, and attention they need. These pups originated in Germany, where they had jobs like driving cattle, working in butcher shops and stockyards, and even guarding breweries. Although this is a pure breed of dog, you may find them in shelters and rescues, so remember to adopt! Don’t shop if you decide this is the dog for you. Giant Schnauzers love to play and have high energy. They do best in homes with big yards to run and get plenty of exercise. Apartment life generally isn’t for them, and novice trainers beware. However, if you want a loyal guardian and energetic companion, this pooch may be your new best friend! DogTime recommends this big, spacious crate to give your big Giant Schnauzer a place to rest and relax. You should also pick up this dog fetch toy to help burn off your pup’s high energy! See all Giant Schnauzer dog breed characteristics below! Additional articles that will interest you:",https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_22924_giant-schnauzer-460x290.jpg,1,1,4,2,4,2,2,5,3,3,2,3,4,1,2,4,3,4,3,5,4,3,4,4,4,4,5,2,5,5,4,Working Dogs,63.5,30.62,11.0
Goldendoodle,"The Goldendoodle is a “designer dog,” a hybrid dog breed resulting from breeding a Poodle with a Golden Retriever . Like all other designer “breeds,” this Doodle is not truly a breed of its own, but is a crossbreed—and in this case, a cross that is enjoying growing popularity. Despite their unfortunate status as a designer breed, you can find these hybrid dogs in shelters and rescues. So opt to adopt if you can! Affectionate, intelligent, and low-shedding, these dogs inherited some of the best traits from their parent breeds. Good for novice dog parents and experienced canine families alike, you’d have a hard time finding a more loving companion. DogTime recommends ordering fresh, custom meals for your Goldendoodle delivered to your door from NomNomNow ! Click here to get 20% off your first order!",https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23204_goldendoodle-460x290.jpg,1,4,4,3,3,3,3,5,5,5,4,5,2,1,4,3,3,4,3,4,5,1,1,3,3,3,4,3,5,5,4,Hybrid Dogs,55.88,31.75,12.5
Golden Mountain Dog,"The Golden Mountain Dog is a mixed breed dog–a cross between the Golden Retriever and Bernese Mountain Dog breeds. Gentle, friendly and intelligent, these pups inherited some of the best qualities from both of their parents. You can find these mixed breed dogs in shelters and breed specific rescues, so remember to always adopt! Don’t shop if you’re looking to add a Golden Mountain Dog to your home! If you’re a fan of larger-than-life dogs but are also looking for a mixed breed that’s very much a gentle giant, the Golden Mountain Dog is for you. The mixed breed makes an excellent family dog and gets along great with small children and other family pets alike. They’re loyal, affectionate, highly intelligent, and willing to please. Just take note: They definitely prefer living in places where the weather is on the colder side , and definitely aren’t apartment dogs.",https://cdn2-www.dogtime.com/assets/uploads/2019/10/golden-mountain-dog-mixed-dog-breed-pictures-cover.jpg,1,2,2,2,5,1,2,5,5,4,3,4,4,4,2,3,4,5,4,4,4,2,2,3,4,3,4,2,5,5,4,Mixed Breed Dogs,66.04,44.23,12.0
Goldador,"Loving, devoted, and energetic, Goldador mixed-breed dogs are prized for their good-natured trainability. They make great family members — a natural with kids and social with other pets — as well as valuable guide, service, and bomb detection dogs.",https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_23214_goldador-460x290.jpg,2,4,3,4,5,4,4,5,5,5,5,5,3,2,4,4,3,4,3,4,5,2,1,1,4,3,5,5,5,5,5,Hybrid Dogs,25.4,31.75,12.5
Great Pyrenees,"The Great Pyrenees dog breed ‘s goal in life is to protect sheep, goats, livestock, people, children, grass, flowers, the moon, the lawn furniture, bird feeders, and any real or imaginary predators that may intrude on your personal space. Oh yeah, and to give, give, and give unconditional love. Anyone who has seen this stunning white dog becomes enamored. What’s not to like? He has a strong build, a beautiful, thick coat, and he exudes elegance and majesty. One look and you can see the intelligence and steady temperament that many seek in a good family dog .",https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23202_great-pyrenees-460x290.jpg,1,1,4,3,5,3,3,5,4,4,3,4,5,2,4,2,4,5,4,1,4,2,5,5,5,4,5,5,5,4,5,Working Dogs,3.81,55.57,11.0
Goberian,"The Goberian is a mixed breed dog–a cross between the Golden Retriever and Siberian Husky dog breeds. Friendly, energetic, and smart, these pups inherited some of the best qualities from both of their parents. You can find these mixed breed dogs in shelters and breed-specific rescues, so remember to always adopt! Don’t shop if you’re looking to add a Goberian to your home! Goberians make for great family dogs. They are extremely friendly, renowned for their good temperament, and enjoy being around people. The devoted mixed breed is an excellent companion and will come to look on you and your family as their best friends. However, you’ll need to make sure you provide adequate exercise for your Goberian to ward off any antisocial habits–this is a dog breed that loves to go hiking, jogging and take extended trips to the local dog park. Such an active breed is not a good fit for an apartment dweller.",https://cdn1-www.dogtime.com/assets/uploads/2019/07/goberian-mixed-dog-breed-pictures-cover.jpg,1,2,3,2,5,2,3,4,4,4,2,4,2,1,5,4,4,4,3,2,5,3,4,2,4,3,5,4,5,4,5,Mixed Breed Dogs,55.88,30.62,12.5
German Wirehaired Pointer,"The German Wirehaired Pointer was developed in the late 19th and early 20th centuries to be a versatile hunting dog breed , a job at which they still excel today. They can hunt any game on any terrain and point and retrieve from land or water. Their excellent noses and stamina are appreciated by hunters worldwide, but they’re also great companions for active families who can provide an outlet for this dog’s high energy levels. DogTime recommends this dog bed to give a good night’s sleep to your medium-sized German Wirehaired Pointer. You should also pick up this dog fetch toy to help burn off your pup’s high energy! See all German Wirehaired Pointer dog breed characteristics below! Additional articles that will interest you:",https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_22978_german-wirehaired-pointer-460x290.jpg,2,3,4,2,3,4,3,5,3,3,2,3,2,2,4,4,3,4,3,4,5,4,4,3,5,4,5,4,5,5,5,Sporting Dogs,13.97,29.48,13.0
German Spitz,"The German Spitz is one of the oldest dog breeds originating from Europe. Attentive, energetic, and devoted, these pups have some of the best qualities among any dog breed around. German Spitzes go by several other names such as Spitz, German Spitz Mittelspitz, and Deutscher Spitz. If you’d like to bring home a dog of this breed, look for them at your local shelter or rescue. Remember, adopt a pup, and don’t shop! These adorable pooches can make great apartment dogs due to their small stature and are suited for any type of household or family, though they have a tendency to be yappy. If you want an energetic “firecracker” dog who will keep you on your toes, alert you to any potential dangers, and love you unconditionally, this may be the right dog for you!",https://cdn3-www.dogtime.com/assets/uploads/2019/10/german-spitz-dog-breed-pictures-cover.jpg,4,2,3,3,3,2,3,5,4,3,3,4,4,1,2,4,4,1,3,2,4,4,5,4,2,4,5,3,4,4,4,Companion Dogs,34.29,11.34,14.0
German Sheprador,"The German Sheprador is a mixed breed dog–a cross between the German Shepherd and Labrador Retriever dog breeds. Large, energetic, and loyal, these pups inherited some of the best qualities from both of their parents. The German Sheprador is also called the Labrashepherd. Despite their unfortunate status as a designer breed, you can find these mixed-breed dogs in shelters and breed-specific rescues, so remember to adopt! Don’t shop! German Shepradors are not a great choice for novice pet owners, but if you’re looking for a watch dog and family companion, please step right up! Big homes with yards are ideal but not required, as long as they exercise. While Shepradors are not excessively barky they will alert when strangers approach. They’re protective of their loved ones and friendly with people, children, and other dogs. Don’t leave them alone for long periods, though, or else they may become bored and destructive. Read on to learn more about the German Sheprador.",https://cdn3-www.dogtime.com/assets/uploads/2019/09/german-sheprador-mixed-dog-breed-pictures-cover.jpg,2,1,5,2,4,4,3,5,5,4,4,5,5,2,5,3,3,4,4,5,5,5,3,2,2,4,5,5,5,5,5,Mixed Breed Dogs,59.69,35.15,11.0
Glen of Imaal Terrier,"The Glen of Imaal Terrier is a strong, independent dog breed named for the remote valley in Ireland where they originated. Bred to hunt fox and badger, and to keep homes free of rodents, the Glen is a skilled and cunning hunter. They’re also an affectionate family dog, gentle, and loving with their people. Even though these are purebred dogs, some may still end up in the care of shelters or rescues. Consider adoption if this is the breed for you. Compact and easy to groom, these dogs can adapt to apartments and large homes easily so long as they get enough exercise and active playtime. Due to their history of hunting small game, Glen of Imaal Terriers retain their love of digging. You may want to create a designated digging area outdoors to let your dog get the urge out of their system. Start training and socializing your pup from an early age, and you’ll be rewarded with a loving, lifelong companion. DogTime recommends this carrier for traveling with your small Glen of Imaal Terrier. You should also pick up this dog water bottle for any outdoor adventures you have with your pup!",https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23066_glen-of-imaal-terrier-460x290.jpg,4,2,3,3,3,4,3,5,5,2,3,4,1,1,5,5,3,1,3,4,4,3,5,4,3,4,4,5,4,4,4,Terrier Dogs,33.02,15.88,13.5
German Shorthaired Pointer,"The versatile German Shorthaired Pointer sporting dog breed hunts many types of game, retrieves on land or from water, and is an affectionate companion. They have a striking, easy-care coat, but they need plenty of vigorous exercise. If you can provide this dog with the mental and physical challenges they crave, they’ll be your best four-legged friend. But those who live in apartments or spend lots of time away from home must beware. Without room to play and lots of exercise, you may find a bored dog engaging in destructive behaviors when you get home. DogTime recommends this dog bed to give a good night’s sleep to your medium-sized German Shorthaired Pointer. You should also pick up this dog fetch toy to help burn off your pup’s high energy! See all German Shorthaired Pointer dog breed traits below! Additional articles that will interest you:",https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_22976_german-shorthaired-pointer-460x290.jpg,1,2,4,1,2,4,2,5,5,4,3,4,2,2,5,3,3,3,3,5,5,4,5,3,5,5,5,3,5,5,5,Sporting Dogs,12.7,26.08,13.5
German Shepherd Pit Bull,"The German Shepherd Pit Bull is a mixed breed dog–a cross between the German Shepherd Dog and American Pit Bull Terrier breeds. Medium to large in size, energetic, and loyal, these pups inherited some of the best traits from both of their parents. The German Shepherd Pit Bull is also sometimes called the German Sheppit, German Pit, and Shepherd Pit. Despite their unfortunate status as a designer breed, you may find these pups in shelters and breed specific rescues, so remember to adopt! Don’t shop! These pups are friendly in nature when they have proper socialization training, and they’re loyal to a fault. Both parent breeds are hard working dogs. Due to their superior intelligence and athletic build they are often tasked with guarding and police work. An apartment probably wouldn’t do for these pups. German Shepherd Pit Bulls need large homes with yards to run around. If given rigorous duties, you’ll have one happy dog. When under-stimulated, these pups can become destructive and develop behavioral problems. DogTime recommends this dog bed to give a good night’s sleep to your medium-sized German Shepherd Pit Bull. You should also pick up this dog water bottle for any outdoor adventures you have with your pup!",https://cdn2-www.dogtime.com/assets/uploads/2020/02/german-shepherd-pit-bull-mixed-dog-breed-pictures-COVER.jpg,1,1,4,1,3,3,2,5,5,4,4,5,5,1,5,4,4,4,4,5,5,5,4,4,3,4,5,5,5,5,5,Mixed Breed Dogs,54.61,27.22,11.0
German Shepherd Rottweiler Mix,"The German Shepherd Rottweiler Mix is a a cross between the German Shepherd and Rottweiler dog breeds. Eenergetic, loyal, and as eager to play as they are to snuggle, these mixed breed pups inherited some of the best qualities from both of their parents. German Shepherd Rottweiler Mixes go by several different names, like the Rottie Shepherd or Rotten Shepherd–a misnomer in terms of how loving and fun this mixed breed can be. Despite their unfortunate status as a designer breed, you may find these mixed breed dogs in shelters and breed specific rescues, so remember to adopt! Don’t shop! These fluffy pups make great family dogs, and they’re best suited to homes that have access to a yard and space. Still, they can make great companions for active urban dwellers, too. If you want a goofy, kid-friendly dog who loves to play as much as they love to look out for their family, the German Shepherd Rottweiler Mix might be the right dog for you! DogTime recommends ordering fresh, custom meals for your German Shepherd Rottweiler Mix delivered to your door from NomNomNow ! Click here to get 20% off your first order!",https://cdn1-www.dogtime.com/assets/uploads/2020/04/german-shepherd-rottweiler-mixed-dog-breed-pictures-cover.jpg,3,4,3,3,4,2,3,4,4,3,3,4,5,3,3,3,4,4,4,3,4,3,3,3,2,3,4,3,4,4,4,Mixed Breed Dogs,63.5,43.09,11.0
German Pinscher,"The German Pinscher dog breed is muscular and agile, powerful yet graceful. A medium-sized dog with an elegant appearance, they’re admired as much for their beauty as for their intelligence. As the name implies, these pups originated in Germany. Although this is a pure breed of dog, you may find them in shelters and rescues, so remember to adopt! Don’t shop if you decide this is the dog for you. The German Pinscher is a working breed , a guard dog, and a devoted and loving family dog. Although they can adapt to many living situations, their high intelligence and energy levels mean they will need lots of exercise. A home with a yard to run would be ideal. DogTime recommends this dog bed to give a good night’s sleep to your medium-sized German Pinscher. You should also pick up this dog fetch toy to help burn off your pup’s high energy! See all German Pinscher dog breed characteristics below! Additional articles that will interest you:",https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_22922_german-pinscher-460x290.jpg,3,3,4,3,3,4,3,5,3,2,2,3,3,1,5,4,3,3,3,4,5,3,5,3,4,4,5,3,5,5,5,Working Dogs,46.99,15.88,13.0
French Spaniel,"The French Spaniel is a pure breed dog from France and Canada. These dogs are sociable, intelligent, and gentle, which make up some of the best qualities in any pooch. The French Spaniel goes by several names, including Epagneul Francais, French Setter, and Canadian Setter. Despite their unfortunate status as a designer breed, you can find these pure breed dogs in shelters and rescues, so remember to adopt! Don’t shop! These beautiful dogs make great companions for those who are naturally active. They are not well-suited for apartment living as they need space to run and expend their energy. They are great pets for any type of household, including families with children of all ages. If you want an energetic and active dog who will keep you on your toes, then this breed might be right for you!",https://cdn2-www.dogtime.com/assets/uploads/2019/08/french-spaniel-dog-breed-picture-cover.jpg,2,4,4,3,4,2,3,5,4,4,4,4,3,2,3,4,2,3,3,4,4,2,3,2,2,3,5,3,4,4,4,Sporting Dogs,57.15,23.81,11.0
German Shepherd Dog,"The German Shepherd Dog is one of America’s most popular dog breeds —for good reason. They’re intelligent and capable working dogs . Their devotion and courage are unmatched. And they’re amazingly versatile, excelling at most anything they’re trained to do: guide and assistance work for the handicapped, police and military service, herding, search and rescue, drug detection, competitive obedience, and–last but not least–faithful companion.",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23188_german-shepherd-dog-460x290.jpg,3,2,5,2,4,3,3,5,5,2,4,4,5,1,5,4,2,4,4,5,5,5,4,4,2,4,5,5,5,5,5,Herding Dogs,13.97,38.56,12.0
Frenchton,"The Frenchton is a mixed breed dog–a cross between the Boston Terrier and French Bulldog breeds. Sturdy, sociable, playful, and chill, these pups inherited some of the best qualities from both of their parents. Frenchtons are also called Frenchbo, Faux Frenchbo, and Froston. Despite their unfortunate status as a designer breed, you can find these pups, in shelters and breed-specific rescues, so remember to adopt. Don’t shop! These outgoing pups are total charmers. They’re easy traveling companions and could join their families on every adventure. They’re also sweet-natured and love children of all ages. With plenty of love and some activities, a Frenchton would easily adapt to a small apartment. If you work long hours and would be away from your pup, however, this would not be the right dog for you. But if you work in a place that would allow you to bring your pup with you, this laid-back dog would love to join you and hang out wherever you are.",https://cdn1-www.dogtime.com/assets/uploads/2020/01/frenchton-mixed-dog-breed-pictures-cover.jpg,5,5,3,2,3,3,4,5,5,5,5,5,4,3,5,4,2,2,3,4,4,2,2,3,3,3,3,3,3,5,4,Mixed Breed Dogs,31.75,9.07,13.5
French Bulldog,"The French Bulldog has enjoyed a long history as a companion dog. Created in England to be a miniature Bulldog, they accompanied English lacemakers to France, where they acquired their “Frenchie” moniker. Besides being companions, they once served as excellent ratters, but today their job focuses on being fabulous family friends and show dogs. They’re a somewhat rare dog breed , but you may find them in shelters and rescues. Opt to adopt if you can! DogTime recommends ordering fresh, custom meals for your Frenchie delivered to your door from NomNomNow ! Click here to get 20% off your first order! Read everything about French Bulldog Puppies here !",https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23150_french-bulldog-460x290.jpg,5,5,3,1,2,1,3,5,4,4,4,4,3,1,5,2,4,2,3,4,3,3,2,3,2,3,3,4,2,5,4,Companion Dogs,29.21,9.98,12.5
Frengle,"The Frengle is a mixed dog breed–a cross between the French Bulldog and Beagle dog breeds. Charismatic, affectionate, and even-tempered, these pups inherited some of the best qualities from both of their parents. Frengles can also go by the name French Bulldog Beagle mix but rarely go by any other names. Despite their unfortunate status as a designer dog breed, you can find these mixed breed dogs in shelters and breed specific rescues, so remember to adopt! Don’t shop! These good-natured pups are quite adaptable and make great apartment dogs as long as they’re walked daily, but they will also enjoy living in a home with a backyard. They’re not yappy dogs but will bark to alert their owners of any intruders. If you want a social, energetic, loyal, and fun-loving dog, the Frengle may be the right dog for you!",https://cdn1-www.dogtime.com/assets/uploads/2020/02/frengle-mixed-dog-breed-pictures-cover.jpg,4,4,4,3,2,2,3,5,5,4,4,5,3,1,5,4,4,3,3,3,4,3,3,2,3,3,4,3,4,5,4,Mixed Breed Dogs,29.21,10.89,12.5
German Longhaired Pointer,"The German Longhaired Pointer is a multipurpose hunting dog breed that Germans started selectively breeding for their versatility and athleticism. Today, the German Longhaired Pointer, or GLP, is a gentle, loyal breed. Some fans of the breed refer to them simply as GLP. In their native country, they’re called Deutsch-Langhaar, or the German Longhair. Although these are purebred dogs, you may still find them in shelters and rescues. Remember to adopt! Don’t shop if this is the breed for you. As long as a German Longhaired Pointer gets plenty of exercise, this breed makes an amazing pet for active singles and families alike. They thrive in homes with yards or plenty of space to run, sniff, and romp. If you’re looking for a loyal dog who will keep you as active as ever, the German Longhaired Pointer just might be the right breed for you! DogTime recommends this big, spacious crate to give your big GLP a place to rest and relax. You should also pick up this dog fetch toy to help burn off your pup’s high energy!",https://cdn3-www.dogtime.com/assets/uploads/2020/05/german-longhaired-pointer-dog-breed-pictures-cover.jpg,2,2,3,3,3,2,3,5,4,4,4,4,2,3,5,4,4,4,4,4,4,2,3,3,4,3,5,3,5,3,4,Sporting Dogs,64.77,29.71,12.5
Flat-Coated Retriever,"The Flat-Coated Retriever was originally developed as a dual-purpose retriever of game on land and from water, and they’re still popular for that purpose today. They also compete in obedience, rally, and agility, are super therapy dogs, and are ideal companions for people who are looking for an active dog breed. Apartment dwellers should beware, however, as these pups definitely need room to run and play. Keep up with daily walks to meet this breed’s high exercise needs. DogTime recommends this dog bed to give a good night’s sleep to your medium-sized Flat-Coated Retriever. You should also pick up this dog fetch toy to help burn off your pup’s high energy! See all Flat-Coated Retriever dog breed traits below! Additional articles that will interest you:",https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_22974_flat-coated-retriever-460x290.jpg,1,2,5,1,4,4,3,5,5,5,5,5,3,2,4,4,4,3,3,4,5,3,3,4,4,4,5,4,5,5,5,Sporting Dogs,25.4,28.35,11.0
Finnish Lapphund,"Believe it or not, this hard-working dog breed earned his keep herding reindeer in his native Lapland, in the far north of Finland. Friendly and gentle, the Finnish Lapphund retains a strong herding instinct.",https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23258_finnish-lapphund-460x290.jpg,4,4,4,2,5,2,4,5,5,5,4,5,3,1,4,4,4,3,3,5,5,4,4,3,4,4,5,5,4,5,5,Herding Dogs,7.62,19.5,13.5
Fox Terrier,"Fox Terriers were originally bred to flush foxes out of their hiding places during fox hunts. Today they’re primarily family companions and show dogs, although you’ll occasionally find them in the hunt country of the northeastern United States, still performing their traditional role.",https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_23094_fox-terrier-460x290.jpg,3,3,3,3,3,4,3,4,4,3,3,4,2,1,2,4,2,2,2,5,5,3,5,3,3,4,5,5,5,5,5,Terrier Dogs,2.54,7.71,12.5
French Bullhuahua,"The French Bullhuahua is a mixed breed dog–a cross between the Chihuahua and French Bulldog breeds. Compact, spunky, and loyal, these pups inherited some of the best qualities from both of their parents. French Bullhuahuas go by several names, including Frencheenie, Chibull, and Mexican Frenchie. Despite their unfortunate status as a designer breed, you can find these mixed breed dogs in shelters and breed specific rescues, so remember to adopt! Don’t shop! These cute pups make excellent apartment dogs for urban dwellers, and they also fare well in small or single-person households. These little firecracker dogs can be somewhat vocal or “yappy,” making them great alert dogs. If you want a spunky snuggle buddy who will keep you on your toes and love you unconditionally, the French Bullhuahua may be the right dog for you! Check out this de-shedding tool , perfect for this mixed breed’s short hair! Or this harness that will fit your French Bullhuahua’s smaller frame!",https://cdn2-www.dogtime.com/assets/uploads/2020/03/french-bullhuahua-mixed-dog-breed-pictures-cover.jpg,4,3,3,2,2,4,3,4,3,2,3,3,3,2,4,4,5,1,3,3,3,4,3,4,2,3,3,3,3,4,3,Mixed Breed Dogs,22.86,9.07,12.5
Estrela Mountain Dog,"The Estrela Mountain Dog is a purebred dog from the Estrela Mountains of Portugal. Courageous, protective, and loyal, these pups have some of the best qualities of most dog breeds around today. The Estrela Mountain Dog goes by several names, including Portuguese Shepherd and Cao da Serra da Estrela. These large, beautiful dogs live primarily in their homeland of Portugal, but you might still find them in local shelters and breed specific rescues. Remember to adopt! Don’t shop! These adorable pups are quite large and suited for larger homes, preferably with yards to roam. They might not be well suited for apartment living. They’re loyal and protective, which makes them great for households of all sizes. If you want a loving companion who will guard your home and family and alert you to any potential dangers, then this beautiful pooch might be right for you!",https://cdn2-www.dogtime.com/assets/uploads/2019/11/estrela-mountain-dog-breed-pictures-cover.jpg,1,3,2,3,4,3,3,5,5,3,2,4,4,3,2,4,3,4,3,4,5,2,1,3,1,3,3,3,3,3,3,Herding Dogs,68.58,46.49,13.0
Field Spaniel,"The sturdy, medium-sized Field Spaniel dog breed was originally developed to retrieve game from land or water. Today, while they retain their excellent hunting skills, they’re mainly family companions and show dogs and are rarely seen in the field. These dogs love people and are loyal family friends. However, they do not fair as well in apartments due to their high energy and exercise needs. If you decide this is the breed for you, make sure your dog has plenty of space to run and play, and keep up with daily walks! DogTime recommends this dog bed to give a good night’s sleep to your medium-sized Field Spaniel. You should also pick up this dog water bottle for any outdoor adventures you have with your pup! See all Field Spaniel dog breed characteristics below! Additional articles that will interest you:",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_22972_field-spaniel-460x290.jpg,1,3,4,1,3,4,3,5,5,4,4,5,3,1,4,3,4,2,3,5,5,3,4,2,5,4,5,3,5,5,5,Sporting Dogs,6.35,18.6,11.0
